scenario,seed,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,thunder_marked_for_pause,thunder_mean_decayed_cache_fraction,bdp_lambda_last,bdp_lambda_mean,bdp_lambda_max,bdp_updates,bdp_binding_fraction,mean_program_ct_fcfs,p90_program_ct_fcfs,p95_program_ct_fcfs,makespan_fcfs,aggregate_gen_tps_fcfs,physical_kv_util_fcfs,cache_hit_prefix_ratio_fcfs,mean_active_fcfs,mean_router_paused_fcfs,active_preemptions_fcfs,mean_program_ct_improvement_pct,p90_program_ct_improvement_pct,p95_program_ct_improvement_pct,makespan_improvement_pct,aggregate_gen_tps_improvement_pct
coder80_experiment_r10,20262111,1200.0,15.0,2848.0625,1445.9025,293.6325,21688.5375,224553.9875,4404.4875,1.0458233249758317,13.09039192811942,45010.0,fcfs,403.8691893186541,445.164016567932,546.1500000000001,584.5999999999999,836.0,344.4976076555024,86.1244019138756,80.0,1200.0,220.2755774324156,7.8363423936200665,20.21023958798867,0.26628100959463036,461.0,739.0,13180761.999999836,11445679.0,352358.9999999949,421.4820574162618,0.0,0.0,0.0,5733.0,0.0,0.0,0,0.0,0.4972347045974349,0.5694706663778724,0.4741163004963135,25.881019397266307,75.0,64.0,0.26574246744508123,41.0,11.248338364047953,21.275237196878805,4.605782200387483,1.0,279.0,0.006749415703411598,0.012471398804336783,1024.0,,,,,,,,403.8691893186541,546.1500000000001,584.5999999999999,836.0,421.4820574162618,0.4972347045974349,0.26628100959463036,25.881019397266307,11.248338364047953,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r10,20262111,1200.0,15.0,2848.0625,1445.9025,293.6325,21688.5375,224553.9875,4404.4875,1.0458233249758317,13.09039192811942,45010.0,thunder,341.54697100934845,357.3545955825599,493.8000000000002,538.1249999999998,815.0,353.37423312883436,88.34355828220859,80.0,1200.0,196.65163718088317,3.8215438633959473,8.681428905097407,0.8075118238548313,1021.0,179.0,3476790.717472381,1744074.911952811,352359.0000000106,432.34233128835655,110.0,1448559.0,0.0,4863.0,6.0,89527.7174723788,0,0.0,0.5260075411346016,0.554270197947986,0.4451113758905927,26.310980774412425,78.0,64.0,0.3033427721190602,25.0,5.626813050398941,25.250566029328606,1.060414745083822,0.9990780079843758,272.0,0.019405632509219953,0.04110239096917212,1024.0,6.0,0.36042652744001613,,,,,,403.8691893186541,546.1500000000001,584.5999999999999,836.0,421.4820574162618,0.4972347045974349,0.26628100959463036,25.881019397266307,11.248338364047953,0.0,15.431288139223023,9.58527876956878,7.949880260006867,2.511961722488038,2.5766871165689986
coder80_experiment_r10,20262111,1200.0,15.0,2848.0625,1445.9025,293.6325,21688.5375,224553.9875,4404.4875,1.0458233249758317,13.09039192811942,45010.0,bdp,320.8264341327148,316.28260785355826,481.25,583.1228664784915,799.08067558458,360.4141719349039,90.10354298372597,80.0,1200.0,196.99002198046503,5.609594736193081,8.097270769025128,0.8538677141059452,1055.0,145.0,2625167.000000005,890084.0,352358.99999999924,440.95547641948104,0.0,0.0,0.0,1927.0,0.0,0.0,0,0.0,0.4604140524851229,0.48271186362755236,0.5089159701627606,22.281313257771483,78.0,18.0,0.10362263102367118,41.0,8.424072673897617,21.284303505620933,0.9970097521505393,0.9997101209053294,268.0,0.14792710591330013,0.46128297690302117,1024.0,,,0.0,4.1812339218898555e-09,1.7812744614531476e-08,268.0,0.3656716417910448,403.8691893186541,546.1500000000001,584.5999999999999,836.0,421.4820574162618,0.4972347045974349,0.26628100959463036,25.881019397266307,11.248338364047953,0.0,20.561795101536777,11.883182275931535,0.25267422536921813,4.416187131031096,4.6202249088831415
coder80_experiment_r11,20262112,1134.0,14.175,2731.55,1419.978835978836,412.03439153439155,20128.2,205822.325,5840.5875,0.8585974643269795,12.08906942400108,40595.0,fcfs,467.0453049500808,534.5177038651566,771.9371725320456,831.6999999999999,860.0,334.8837209302325,79.11627906976744,80.0,1134.0,245.9521389877509,7.839306199274159,27.92921747262016,0.2817793210721918,455.0,679.0,11826068.00000001,10215812.0,467247.00000003056,543.3104651163146,0.0,0.0,0.0,7934.0,0.0,0.0,0,0.0,0.7134994748091631,0.7625817002916943,0.254485558811992,31.74905922044371,77.0,57.0,0.23550544479987212,24.0,10.336945616252207,28.464816915496904,3.2842423049468614,1.0,287.0,0.00719700409391512,0.011854595504701136,1024.0,,,,,,,,467.0453049500808,771.9371725320456,831.6999999999999,860.0,543.3104651163146,0.7134994748091631,0.2817793210721918,31.74905922044371,10.336945616252207,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r11,20262112,1134.0,14.175,2731.55,1419.978835978836,412.03439153439155,20128.2,205822.325,5840.5875,0.8585974643269795,12.08906942400108,40595.0,thunder,431.1886399574734,471.03648127773477,723.2000000000003,788.2,822.5,350.15197568389056,82.72340425531915,80.0,1134.0,233.06778093072882,5.035936542531092,9.119608742505802,0.7959996564998476,947.0,187.0,3409284.1944746156,1822436.3353148827,467247.00000000244,568.0814589665683,101.0,1365542.0,0.0,7006.0,22.0,348722.19447461894,0,0.0,0.7644886168948299,0.7889641095440926,0.20194846854101883,33.4983994826285,79.0,57.0,0.3219210078852053,20.0,6.943163573532226,32.49673462808533,1.0016648545431837,1.0,275.0,0.023232543079013176,0.04169127205386758,1024.0,3.0,0.396684596327394,,,,,,467.0453049500808,771.9371725320456,831.6999999999999,860.0,543.3104651163146,0.7134994748091631,0.2817793210721918,31.74905922044371,10.336945616252207,0.0,7.677341922201709,6.313619069824243,5.230251292533353,4.3604651162790695,4.559270516711034
coder80_experiment_r11,20262112,1134.0,14.175,2731.55,1419.978835978836,412.03439153439155,20128.2,205822.325,5840.5875,0.8585974643269795,12.08906942400108,40595.0,bdp,414.34696399005753,413.0046474533958,718.8000000000001,761.075,825.5,348.8794669897032,82.42277407631738,80.0,1134.0,238.05611359504036,7.197529760589727,12.056015408276322,0.8398036996229636,983.0,151.0,2637758.0,1027502.0,467247.0000000024,566.0169594185371,0.0,0.0,0.0,3589.0,0.0,0.0,0,0.0,0.6939638264160597,0.7158626930487321,0.27203360154039474,28.999386790129712,79.0,17.0,0.09647367840544471,47.0,9.887339489410964,28.085535742485348,0.9138510476443577,1.0,276.0,0.15434602434085548,0.35841623321175575,1024.0,,,0.0,5.982171203127015e-09,1.9198378212033773e-08,276.0,0.5869565217391305,467.0453049500808,771.9371725320456,831.6999999999999,860.0,543.3104651163146,0.7134994748091631,0.2817793210721918,31.74905922044371,10.336945616252207,0.0,11.283346690671861,6.883613644067594,8.491643621498124,4.011627906976744,4.1792852816411985
coder80_experiment_r12,20262113,1276.0,15.95,2742.9,1380.3330721003135,427.6152037617555,22016.3125,253984.2125,6820.4625,0.9782070155674694,12.971932191030328,40832.0,fcfs,576.39691287679,589.1459999672322,858.5500000000003,963.625,1058.0,272.2117202268431,72.36294896030246,80.0,1276.0,301.7152376065754,9.72206525773555,21.837187182447224,0.22236982544731987,397.0,879.0,15800462.99999996,14039158.0,545636.9999999878,515.7249527410092,0.0,0.0,0.0,9259.0,0.0,0.0,0,0.0,0.647325736324033,0.7070936874174364,0.33422622514481376,30.67667094040654,79.0,60.0,0.20106363992448195,35.0,11.725288533904134,26.91465349303723,3.7620174473693364,1.0,353.0,0.007447751012047694,0.01271658111363649,1024.0,,,,,,,,576.39691287679,858.5500000000003,963.625,1058.0,515.7249527410092,0.647325736324033,0.22236982544731987,30.67667094040654,11.725288533904134,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r12,20262113,1276.0,15.95,2742.9,1380.3330721003135,427.6152037617555,22016.3125,253984.2125,6820.4625,0.9782070155674694,12.971932191030328,40832.0,thunder,492.1482277462154,491.7236769544154,823.85,923.025,1006.5,286.14008941877796,76.06557377049181,80.0,1276.0,271.10797536221025,4.6148908718397355,6.2313500033046125,0.8089702622756523,1074.0,202.0,3953078.7294392684,2196731.6144645414,545636.9999999698,542.113263785365,121.0,1627678.0,0.0,8264.0,19.0,368443.7294392643,0,0.0,0.6867665049524492,0.7105876960612926,0.2947063158510465,31.96413751380051,80.0,60.0,0.27183157904331784,22.0,5.850572034244916,31.00491468730719,0.9592228264933255,1.0,336.0,0.022095708464760156,0.042093219235539436,1024.0,6.0,0.391218536479249,,,,,,576.39691287679,858.5500000000003,963.625,1058.0,515.7249527410092,0.647325736324033,0.22236982544731987,30.67667094040654,11.725288533904134,0.0,14.616435870568846,4.04169821210183,4.213257231806981,4.8676748582230625,5.116741182311513
coder80_experiment_r12,20262113,1276.0,15.95,2742.9,1380.3330721003135,427.6152037617555,22016.3125,253984.2125,6820.4625,0.9782070155674694,12.971932191030328,40832.0,bdp,465.7893798573235,470.666708695273,817.35,961.2,1028.5,280.0194457948469,74.43850267379679,80.0,1276.0,276.6692558676678,7.378859973479143,12.600215062193143,0.8470931534770099,1102.0,174.0,3106874.000000001,1345569.0,545636.9999999698,530.5172581428973,0.0,0.0,0.0,3996.0,0.0,0.0,0,0.0,0.5867060256922441,0.6069832273119398,0.39331124066690876,25.962148412089668,76.0,22.0,0.10491088508496353,50.0,9.154521464423327,25.0836452408831,0.8785031712065691,1.0,343.0,0.13775739081627514,0.3565335529856384,1024.0,,,0.0,4.918838292610004e-09,1.9747082148930443e-08,343.0,0.4577259475218659,576.39691287679,858.5500000000003,963.625,1058.0,515.7249527410092,0.647325736324033,0.22236982544731987,30.67667094040654,11.725288533904134,0.0,19.189473529173778,4.798788655290927,0.25165391101309686,2.7882797731569,2.868254739909104
coder80_experiment_r13,20262114,1219.0,15.2375,2664.4875,1394.9934372436423,389.94749794913866,21256.2125,227340.5875,5941.825,0.8567732213027132,11.780745684274413,44784.0,fcfs,488.22299744014725,497.4357760153537,760.7017187396862,807.982963712929,875.0,329.14285714285717,83.58857142857144,80.0,1219.0,276.1430367277974,6.851532706550243,18.509592622295138,0.3092968386034456,492.0,727.0,12561988.99999997,10861492.0,475346.00000002154,543.2525714285961,0.0,0.0,0.0,8624.0,0.0,0.0,0,0.0,0.6856706898745697,0.73687835901625,0.2854569401354989,33.782537703363616,78.0,62.0,0.23273289227649477,30.0,9.545163850611125,30.299493995909852,3.4830437074537324,1.0,292.0,0.007229174602113358,0.011810444993898273,1024.0,,,,,,,,488.22299744014725,760.7017187396862,807.982963712929,875.0,543.2525714285961,0.6856706898745697,0.3092968386034456,33.782537703363616,9.545163850611125,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r13,20262114,1219.0,15.2375,2664.4875,1394.9934372436423,389.94749794913866,21256.2125,227340.5875,5941.825,0.8567732213027132,11.780745684274413,44784.0,thunder,447.7185639132229,489.75,690.2500000000002,770.4367628332861,842.5,341.839762611276,86.81305637982196,80.0,1219.0,259.0003623880223,3.7548906601374155,5.1406141551878015,0.7954634915333805,1030.0,189.0,3829107.0866143466,2145525.129664843,475345.99999998853,564.2089020771377,103.0,1426579.0,0.0,7664.0,19.0,351279.0866143469,0,0.0,0.7375573716958044,0.7640076307449247,0.2322466732371377,35.641550481942694,80.0,62.0,0.3202462463758407,15.0,5.432892242976268,34.581241768956765,1.0603087129859348,1.0,281.0,0.026053564251794933,0.04099996294826269,1024.0,5.0,0.4151362075486564,,,,,,488.22299744014725,760.7017187396862,807.982963712929,875.0,543.2525714285961,0.6856706898745697,0.3092968386034456,33.782537703363616,9.545163850611125,0.0,8.296297744943878,9.26141179967475,4.646905017292262,3.7142857142857144,3.8575667655714296
coder80_experiment_r13,20262114,1219.0,15.2375,2664.4875,1394.9934372436423,389.94749794913866,21256.2125,227340.5875,5941.825,0.8567732213027132,11.780745684274413,44784.0,bdp,401.4134533154117,355.9818307598716,714.8130290570632,770.1999999999999,831.5,346.36199639206257,87.96151533373421,80.0,1219.0,249.7633937896008,4.84826872925972,6.0,0.8740574095683641,1088.0,131.0,2290549.0,590052.0,475345.9999999992,571.6728803367398,0.0,0.0,0.0,3643.0,0.0,0.0,0,0.0,0.6421652816687822,0.6642003679790699,0.32622756569120914,30.283976065551304,75.0,20.0,0.09555133014728642,47.0,7.107684402847401,29.408467837471584,0.8755082280797324,1.0,278.0,0.132286601629537,0.35098131047561765,1024.0,,,0.0,4.433463028480991e-09,1.944743245808517e-08,278.0,0.4064748201438849,488.22299744014725,760.7017187396862,807.982963712929,875.0,543.2525714285961,0.6856706898745697,0.3092968386034456,33.782537703363616,9.545163850611125,0.0,17.780715898246438,6.032415669922545,4.676207965982939,4.9714285714285715,5.231509320500161
coder80_experiment_r14,20262115,1210.0,15.125,2798.8,1406.8652892561984,392.2917355371901,21278.8375,233951.0875,5933.4125,0.835952433175588,13.93100456687776,40704.0,fcfs,535.8298791050199,595.2205268182884,765.0000000000002,818.575,928.3608081582462,310.2242118248794,78.20235339752168,80.0,1210.0,274.64083711484,11.059378538500612,31.427322207631384,0.21794235087708239,402.0,808.0,14637059.000000153,12934752.0,474673.00000001834,511.3022822901273,0.0,0.0,0.0,8048.0,0.0,0.0,0,0.0,0.6822922564165875,0.7411572436467979,0.2946328141217637,30.32526969176191,77.0,61.0,0.234036218348989,37.0,14.414490480413159,26.567195159004235,3.758074532757621,0.9998863555102661,312.0,0.007758236442429897,0.012677017366513608,1024.0,,,,,,,,535.8298791050199,765.0000000000002,818.575,928.3608081582462,511.3022822901273,0.6822922564165875,0.21794235087708239,30.32526969176191,14.414490480413159,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r14,20262115,1210.0,15.125,2798.8,1406.8652892561984,392.2917355371901,21278.8375,233951.0875,5933.4125,0.835952433175588,13.93100456687776,40704.0,thunder,508.14388820780704,615.5831284615447,715.5000000000001,777.525,882.0,326.53061224489795,82.31292517006803,80.0,1210.0,254.83898500726795,8.691209695968094,19.676332867073917,0.7651964323525532,1001.0,209.0,4485512.528425913,2806531.3368524564,474673.0000000106,538.1780045351594,133.0,2075853.0,0.0,7228.0,22.0,417836.5284259171,0,0.0,0.7535524621535492,0.7853629340775862,0.22272334732701246,32.5729438353306,79.0,61.0,0.3303066852510199,26.0,11.923314889026516,31.42446795380364,1.1484758815269234,0.9984348201282228,294.0,0.024853708605807857,0.04045829991810024,1024.0,11.0,0.4108920987009975,,,,,,535.8298791050199,765.0000000000002,818.575,928.3608081582462,511.3022822901273,0.6822922564165875,0.21794235087708239,30.32526969176191,14.414490480413159,0.0,5.166936741836036,6.47058823529413,5.01481232629876,4.993835128630681,5.256327455581755
coder80_experiment_r14,20262115,1210.0,15.125,2798.8,1406.8652892561984,392.2917355371901,21278.8375,233951.0875,5933.4125,0.835952433175588,13.93100456687776,40704.0,bdp,413.2883223625066,353.34583726185804,725.8926735664156,757.8249999999999,917.1826899695752,314.0050538999526,79.15544067061306,80.0,1210.0,244.73203746558306,6.792131617317538,14.274605941510483,0.8165739451841616,1028.0,182.0,3433017.9999999944,1730711.0,474672.99999999715,517.5337532980949,0.0,0.0,0.0,3255.0,0.0,0.0,0,0.0,0.6164883306528788,0.640036044107777,0.35965669510494536,25.758715828768953,76.0,22.0,0.11410801124843904,44.0,8.960569521026219,24.759785280363992,0.998930548404968,0.99434933734985,309.0,0.1511355232097763,0.40997520554810757,1024.0,,,0.0,5.187812800297188e-09,2.1269735587771014e-08,309.0,0.4854368932038835,535.8298791050199,765.0000000000002,818.575,928.3608081582462,511.3022822901273,0.6822922564165875,0.21794235087708239,30.32526969176191,14.414490480413159,0.0,22.869489276557456,5.112068814847659,7.4214335888587,1.20407045304368,1.2187450015002321
