policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,program_throughput,mean_request_ct,completed_programs,completed_requests,warm_admits,cold_admits,recompute_service,preempt_events,preempted_requests_unique,preempted_request_ratio,memory_keep_events,memory_delete_events,evictions,deleted_from_memory_ratio,memory_violations,decision_wall_sec,decision_cpu_sec,decision_calls,mean_decision_ms,p95_decision_ms,memory_utilization,mean_active,mean_program_ct_e2e_1ms,p90_program_ct_e2e_1ms,makespan_e2e_1ms,mean_program_ct_e2e_10ms,p90_program_ct_e2e_10ms,makespan_e2e_10ms,mean_program_ct_e2e_50ms,p90_program_ct_e2e_50ms,makespan_e2e_50ms,preset,n,rep,seed,profile,prior_mix,token_cv,memory_factor,p_mean,d_mean,M,qmax_obs,total_requests_instance,mean_requests_per_program,runtime_sec,lambda_current_last,dual_updates,lambda_projected_last,lambda_present_last,lambda_future_last,lp_resolves,lp_failures,lambda_peak_last,lambda_mean,selective_skips,mean_program_ct_base,p90_program_ct_base,p95_program_ct_base,makespan_base,program_throughput_base,mean_program_ct_e2e_10ms_base,recompute_service_base,decision_wall_sec_base,mean_program_ct_impr_pct,p90_program_ct_impr_pct,p95_program_ct_impr_pct,makespan_impr_pct,mean_program_ct_e2e_10ms_impr_pct,recompute_service_impr_pct,decision_wall_sec_impr_pct,program_throughput_impr_pct
current_density,10189.6734375,8325.25,22469.15,25564.3,28758.25,0.011127241748020133,7090.313481481481,320,3375,2195,1180,454523.75,164,151,0.04474074074074074,164,1180,1180,0.8779761904761905,0,0.22232390101999044,0.2218480000000529,2859,0.07776281952430586,0.12049998913425952,0.9300070534998222,36.93432319421383,10344.960667170557,22690.657090158413,28980.57390101999,10205.202160467055,22491.300709015843,28780.482390102,10192.77918209341,22473.58014180317,28762.6964780204,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,0.3672700829920359,,,,,,,,,,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,23.876304602359248,14.82134361429705,7.258958289875842,6.889043579615359,23.798150629024295,23.648784281710345,-130.7605256727656,7.398746446671822
dual_descent_current,7260.6203125,5852.25,15572.65,17927.700000000004,21739.0,0.014720088320529923,5293.250074074074,320,3375,2741,634,197219.75,547,417,0.12355555555555556,547,634,634,0.5368331922099915,0,0.2332835499837529,0.23269900000004107,2798,0.08337510721363577,0.13201244146330282,0.8826075507717607,37.02366714200285,7422.485941510026,15804.833491170872,21972.283549983753,7276.806875401002,15595.868349117087,21762.328354998375,7263.8576250802,15577.293669823417,21743.665670999675,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,0.3508148330147378,0.0,2798.0,,,,,,,,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,45.758296136104875,40.96539462486045,34.96267946055267,29.615359709900925,45.66436483061206,66.87088919741343,-142.1360653446761,42.07645245871476
bayes_dual_price,6810.06796875,5723.25,14599.65000000001,16959.5,20250.5,0.015802078961013308,5005.702814814815,320,3375,2938,437,148877.5,1684,402,0.11911111111111111,1684,437,437,0.20603488920320603,0,1.336019378475612,1.332893999999957,2768,0.48266596043194077,0.8105272994725965,0.9149111173609416,37.358176341324906,7733.146135669913,15929.936091569007,21586.519378475612,6902.375785441991,14732.67860915691,20384.10193784756,6828.529532088398,14626.25572183139,20277.220387569512,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,1.4504218329966534,,2768.0,0.0,,,,,,,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,49.12422435614929,44.653955725894,38.47507278185397,34.43469533121803,48.46022728078433,74.99145398210838,-1286.7179042450894,52.51969087183033
mu_two_price,25936.3484375,25735.75,74791.05,75693.5,79512.0,0.0040245497534963275,24485.57037037037,320,3375,3104,271,47121.5,2094,243,0.072,2094,271,271,0.11458773784355179,0,2.6267050002352335,2.620899000000035,2834,0.9268542696666314,1.7536585612106137,0.18640009635832835,8.233596815575007,27657.027827338643,77415.17758581632,82138.70500023523,26108.416376483867,75053.46275858163,79774.67050002352,25970.762025296768,74843.53255171633,79564.5341000047,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,2.7824976660194807,,2834.0,,0.0,4.408465378171708e-07,,,,,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,-93.76191987834015,-183.52657526768604,-174.59754582309247,-157.43702648449135,-94.9505341248905,92.08449764953012,-2626.3817514027105,-61.15554884797263
area_knapsack,10928.690625,10091.75,23149.95000000002,27571.75,31118.75,0.010283189395460936,7730.858814814815,320,3375,2011,1364,529346.5,144,134,0.039703703703703706,144,1364,1364,0.9045092838196287,0,0.501045772456564,0.5001519999999893,2855,0.17549764359249176,0.2978875971166417,0.920785654834785,36.53745732074714,11271.619605346461,23640.850445595635,31619.795772456564,10962.983523034647,23199.04004455958,31168.854577245656,10935.54920460693,23159.76800891193,31128.77091544913,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,0.6573965409770608,,,,,,,,,,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,18.355350508989055,12.240488118321988,-0.023580413745567335,-0.7535776727319822,18.139826537199973,11.080006685631687,-420.0591808066439,-0.7479413536854662
lp_update_long,8288.8609375,6906.75,18674.750000000004,20832.7,24019.0,0.013322786127648945,5951.1864444444445,320,3375,2430,945,298767.0,0,0,0.0,0,848,848,1.0,0,6.917156034527579,6.897171000000025,2800,2.4704128694741354,3.8012693796190433,0.926102490721099,37.73769723968525,12971.22391596397,25488.500132435238,30936.15603452758,8757.097235346399,19356.125013243527,24710.715603452758,8382.50819706928,18811.02500264871,24157.34312069055,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,7.0621496249805205,,,,,0.0,2800.0,0.0,0.0,2.434574203351956e-07,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,38.076648965262486,29.205594633579537,24.424048394264513,22.233374344363142,34.611094032034956,49.8129115002104,-7079.644452822923,28.589866355801675
lp_solve_once,365251.17265625,405971.75,660769.3750000001,699838.15,736933.0,0.0004342321486485203,272324.55377777776,320,3375,2565,810,238562.25,0,0,0.0,0,713,713,1.0,0,0.8276969252910931,0.8256289999999673,3131,0.26435545362219515,0.4241249989718199,0.026978513607346027,1.1469312678357462,365813.136293347,661583.2516262652,737760.6969252911,365307.3690199597,660850.7626626266,737015.7696925291,365262.41192899196,660785.6525325254,736949.5539385058,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,1.4607481669809204,,,,,3.8817534351573096e-07,1.0,0.0,0.0,3.8817534351573096e-07,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,-2628.6712554094515,-2404.921082609743,-2438.8420202972948,-2285.977465518358,-2627.735979204982,59.92614728715376,-759.1059112476195,-95.80884558026305
lp_selective,8410.92578125,7086.75,18101.750000000004,19989.850000000002,23980.0,0.013344453711426188,6009.110296296296,320,3375,2739,636,163102.0,2,2,0.0005925925925925926,2,539,539,0.9963031423290203,0,0.7451525611104444,0.7436189999999598,2809,0.26527325066231555,0.35610820632427914,0.7602261707840453,32.14155546288574,8921.447800957787,18830.735372910396,24725.152561110444,8461.977983220779,18174.648537291043,24054.515256111044,8421.136221644156,18116.32970745821,23994.90305122221,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,0.8698713329795282,,,,,0.0,66.0,0.0,0.0,2.3890036463105236e-07,2743.0,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,37.16474270630534,31.37778940325297,27.48170250587242,22.359645146668395,36.81473806018248,72.60201257671469,-673.4291991070836,28.79899916597164
lp_infrequent,332749.66484375,413479.0,468593.9,471191.95,473935.75,0.0006751970071892657,263204.0417037037,320,3375,2231,1144,296775.5,1,1,0.0002962962962962963,1,1047,1047,0.9990458015267175,0,0.9893818697892129,0.9833449999999964,3116,0.31751664627381676,0.5343124939827248,0.04426338461076473,1.906962599888276,333462.8705862617,469574.4712411704,474925.1318697892,332820.9854180012,468691.95712411706,474034.6881869789,332763.9289586002,468613.51142482343,473955.5376373958,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,1.5554962909955066,,,,,1.3117394220742274e-08,6.0,0.0,0.0,3.2758744491327646e-07,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,-2385.8631913573213,-1676.4000326018765,-1609.369405320104,-1434.4678818882342,-2385.1614107722407,50.147445055614206,-926.9263867546738,-93.48308288623511
lp_dual_descent,7817.7765625,6408.25,17416.05,19406.900000000005,23298.5,0.013734789793334335,5624.575259259259,320,3375,2539,836,248531.25,43,40,0.011851851851851851,43,739,739,0.9450127877237852,0,0.6658736282552127,0.6642480000000539,2802,0.2376422656157076,0.37316701491363347,0.8873668068717001,36.74896452561324,8274.575150513318,18073.990182171296,23964.373628255213,7863.456421301332,17481.84401821713,23365.08736282552,7826.9125342602665,17429.208803643425,23311.817472565104,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,0.7967589580221102,,2802.0,,,1.9012845896104077e-08,1.0,0.0,0.0,2.2845332071779145e-07,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,41.5959652307979,33.97722038678714,29.596502843253717,24.566146474130672,41.28387538735323,58.251547732134625,-591.1418330770849,32.566474236538845
mpc_short,7838.1734375,6234.75,17617.050000000003,19983.8,23558.25,0.013583351904322265,5736.145777777778,320,3375,2577,798,274016.5,0,0,0.0,0,798,798,1.0,0,4.251797716860892,4.23982099999985,2777,1.5310758793161297,2.1548077987972647,0.9108962485490932,37.42461770292785,10601.639443870436,21767.07378469799,27810.047716860892,8114.520038137043,18032.0523784698,23983.42977168609,7893.442757627408,17700.050475693963,23643.285954337218,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,4.393051499995636,,,,,0.0,2777.0,0.0,0.0,3.6153463064904084e-07,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,41.443586893151725,33.21524630527865,27.503650429435616,23.725150553648902,39.40919308201301,53.970517708104985,-4313.142589239037,31.104814661530476
dual_threshold,409365.2,445189.875,710505.8,747787.65,784487.5,0.0004079096225242595,311000.8394074074,320,3375,2352,1023,264550.25,0,0,0.0,0,926,926,1.0,0,1.0672944312100299,1.064910999999988,3146,0.33925442822950724,0.5466564907692373,0.0257775243143071,1.1104498159626508,410110.0501442056,711558.8049062364,785554.79443121,409439.6850144206,710611.1004906236,784594.229443121,409380.0970028841,710526.8600981247,784508.8458886242,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,1.7415656660159584,,,,,1.9408767175786548e-07,1.0,0.0,0.0,4.200363678955906e-07,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.328722607203,595306.5,0.09634399140486494,-2958.2326295669654,-2593.4676833902918,-2612.791104742384,-2439.9452826523343,-2957.270273864002,55.560664968381836,-1007.7955310414266,-96.06290731209867
commit_many,11846.166666666666,11849.5,22353.9,23398.9,26421.5,0.0181670230683345,9571.162198391421,480,4849,2459,2390,757592.25,1225,1202,0.2478861620952774,1225,2390,2390,0.661134163208852,0,0.20025181837263517,0.19965399999997402,3960,0.0505686410031907,0.08937501115724444,0.9123545627627644,61.77790814298961,11986.479563801604,22553.709495557567,26621.751818372635,11860.197956380161,22373.880949555758,26441.525181837264,11848.972924609368,22357.896189911153,26425.505036367453,quick,480,0,20260974,balanced,quick10,0.35,15,120.0,150.0,142935,9529,4849,10.102083333333333,0.4445672919973731,,,,,,,,,,,11846.166666666666,22353.9,23398.9,26421.5,0.0181670230683345,11860.197956380161,757592.25,0.20025181837263517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
least_rounds,15855.109375,11872.5,37961.4,43508.649999999994,47133.75,0.010183785504017821,10708.476747783048,480,4849,1493,3356,1564775.5,196,183,0.03773974015260879,196,3356,3356,0.9448198198198198,0,0.5191193528589793,0.518069999999831,4045,0.12833605756711478,0.20415860926732418,0.951855252820965,51.75570583711247,16221.474106223439,38479.251063833224,47652.86935285898,15891.745848122342,38013.185106383324,47185.6619352859,15862.436669624469,37971.757021276666,47144.13238705718,quick,480,0,20260974,balanced,quick10,0.35,15,120.0,150.0,142935,9529,4849,10.102083333333333,0.825355542008765,,,,,,,,,,,11846.166666666666,22353.9,23398.9,26421.5,0.0181670230683345,11860.197956380161,757592.25,0.20025181837263517,-33.841687536052454,-69.82003140391609,-85.94314262636274,-78.39165073898151,-33.99224790825199,-106.54586949642106,-159.2332779185979,-43.94356485533189
bayes_grade,9960.283333333333,8270.0,22030.40000000001,24477.449999999997,28025.75,0.017127106321864715,6930.796246648793,480,4849,2780,2069,744456.75,242,227,0.04681377603629614,242,2069,2069,0.8952834270878408,0,0.7231864764762577,0.7213519999999249,3872,0.18677336685853763,0.2901024432503618,0.9237809168745904,57.77290527461353,10468.369993243896,22750.077206655624,28748.936476476258,10011.09199932439,22102.36772066557,28098.068647647626,9970.445066531543,22044.79354413312,28040.213729529525,quick,480,0,20260974,balanced,quick10,0.35,15,120.0,150.0,142935,9529,4849,10.102083333333333,0.962874874996487,,,,,,,,,,,11846.166666666666,22353.9,23398.9,26421.5,0.0181670230683345,11860.197956380161,757592.25,0.20025181837263517,15.91977714309833,1.4471747659244816,-4.60940471560627,-6.071759741119921,15.590852394340098,1.7338482541235076,-261.13853165144724,-5.7242000660107095
bayes_grade_warm_marginal,8714.85625,7545.5,19538.800000000003,21605.09999999999,25226.25,0.01902779842426044,6104.36476593112,480,4849,3335,1514,575550.25,202,185,0.03815219632914003,202,1514,1514,0.8822843822843823,0,0.6940722162544262,0.6925559999998256,3801,0.18260252992749965,0.2871670003514737,0.9167710342226997,57.48864773797136,9195.251273594611,20229.380742841124,25920.322216254426,8762.895752359462,19607.858074284115,25295.657221625443,8724.464150471893,19552.611614856825,25240.13144432509,quick,480,0,20260974,balanced,quick10,0.35,15,120.0,150.0,142935,9529,4849,10.102083333333333,0.9167282500129659,,,,,,,,,,,11846.166666666666,22353.9,23398.9,26421.5,0.0181670230683345,11860.197956380161,757592.25,0.20025181837263517,26.433111273689086,12.59332823355208,7.666172341434897,4.523777983838919,26.11509702799281,24.029020888215264,-246.5997072560279,4.738120013874436
current_density,9344.38125,7760.0,20600.9,23131.999999999985,26660.5,0.018004163462800774,6494.830532068468,480,4849,3142,1707,655500.75,195,185,0.03815219632914003,195,1707,1707,0.8974763406940063,0,0.43894087680382654,0.4378560000001741,3809,0.11523782536199174,0.1814159913919866,0.9219080716723644,57.395172633671535,9648.818031829704,21038.43600337659,27099.440876803827,9374.82492818297,20644.65360033766,26704.394087680383,9350.469985636595,20609.650720067533,26669.278817536077,quick,480,0,20260974,balanced,quick10,0.35,15,120.0,150.0,142935,9529,4849,10.102083333333333,0.6674414160079323,,,,,,,,,,,11846.166666666666,22353.9,23398.9,26421.5,0.0181670230683345,11860.197956380161,757592.25,0.20025181837263517,21.11894494702927,7.842032039152004,1.140651910987337,-0.9045663569441553,20.955577953571943,13.475784632168558,-119.19445245037971,-0.8964573057519409
