seed,policy,pid,completion_time_s,rounds,total_prompt_tokens,total_decode_tokens
20262101,hindsight_index,2,756.5,20,22543,12508
20262101,hindsight_index,3,313.75440080616755,15,23045,4539
20262101,hindsight_index,4,121.69852407711508,11,16980,1159
20262101,hindsight_index,5,215.15002729849047,8,21860,2815
20262101,hindsight_index,6,873.0,20,10143,17739
20262101,hindsight_index,7,250.97285748342824,20,31558,3080
20262101,hindsight_index,8,215.3845904509069,13,29211,2613
20262101,hindsight_index,9,396.9570134590862,19,18491,5523
20262101,hindsight_index,10,905.0,8,13307,21652
20262101,hindsight_index,11,198.5,3,2737,2722
20262101,hindsight_index,12,495.0,20,24495,8085
20262101,hindsight_index,13,343.0347120867368,18,15351,4909
20262101,hindsight_index,14,145.29597881123735,10,33258,1494
20262101,hindsight_index,15,383.0,15,24090,5315
20262101,hindsight_index,16,63.170168473985385,12,34112,389
20262101,hindsight_index,17,261.5606538982407,20,19293,3378
20262101,hindsight_index,18,390.0,19,27176,5032
20262101,hindsight_index,19,166.35406755667125,3,7119,2008
20262101,hindsight_index,20,281.7711317449411,20,28629,2996
20262101,hindsight_index,21,143.56461923496747,10,8022,1566
20262101,hindsight_index,22,694.0,12,19852,11859
20262101,hindsight_index,23,651.0,11,25853,9549
20262101,hindsight_index,24,186.5,16,30323,1912
20262101,hindsight_index,25,285.2449583483983,18,30894,3781
20262101,hindsight_index,26,94.06987727100983,4,3813,993
20262101,hindsight_index,27,97.62196205262846,8,8763,922
20262101,hindsight_index,28,165.7292610546906,15,31014,1570
20262101,hindsight_index,29,715.8424595329258,20,17352,13367
20262101,hindsight_index,30,413.8066704781903,20,27608,5746
20262101,hindsight_index,31,286.58433703421116,20,26123,3748
20262101,hindsight_index,32,903.5,9,15495,21964
20262101,hindsight_index,33,148.0,6,12952,1753
20262101,hindsight_index,34,310.1671367801343,13,28934,4545
20262101,hindsight_index,35,275.88031122578803,18,27477,3504
20262101,hindsight_index,36,547.5,20,10691,9773
20262101,hindsight_index,37,300.51219882129595,16,28715,3738
20262101,hindsight_index,38,245.5477514412491,20,24168,2698
20262101,hindsight_index,39,140.64934004128327,14,28496,975
20262101,hindsight_index,40,492.0,20,22085,6632
20262101,hindsight_index,41,352.5348523100821,20,18017,5282
20262101,hindsight_index,42,548.0,20,23723,7017
20262101,hindsight_index,43,617.5,20,23636,8144
20262101,hindsight_index,44,1344.2168076874568,9,2275,56172
20262101,hindsight_index,45,774.5,18,19352,13490
20262101,hindsight_index,46,793.0,18,18955,16214
20262101,hindsight_index,47,770.5084400509228,15,17440,15746
20262101,hindsight_index,48,347.67144916467714,18,21040,5032
20262101,hindsight_index,49,204.55940326353792,12,19236,2465
20262101,hindsight_index,50,616.5,13,26595,8448
20262101,hindsight_index,51,806.0,17,20981,15023
20262101,hindsight_index,52,635.7255553757876,20,14229,10227
20262101,hindsight_index,53,224.82143713508955,20,32000,2463
20262101,hindsight_index,54,332.0441269821534,20,28181,4116
20262101,hindsight_index,55,238.57715222031007,20,31826,2716
20262101,hindsight_index,56,172.6871487260821,10,11898,1938
20262101,hindsight_index,57,763.0,17,17402,13584
20262101,hindsight_index,58,324.0,20,30649,4309
20262101,hindsight_index,59,510.5,15,24703,6119
20262101,hindsight_index,60,583.5,14,27015,7400
20262101,hindsight_index,61,372.8775244409238,20,27750,4990
20262101,hindsight_index,62,300.51219882129595,9,10053,4574
20262101,hindsight_index,63,94.61381311316153,7,17637,868
20262101,hindsight_index,64,255.61103822716007,20,13853,2826
20262101,hindsight_index,65,251.18781454106173,20,25700,2927
20262101,hindsight_index,66,610.5228480360856,19,23618,8969
20262101,hindsight_index,67,881.5,13,15993,19141
20262101,hindsight_index,68,245.0477514412491,20,28692,2703
20262101,hindsight_index,69,403.6028640162003,14,26817,6388
20262101,hindsight_index,70,440.0,10,10263,7358
20262101,hindsight_index,71,335.5187891139028,16,32560,3805
20262101,hindsight_index,72,446.18719583853766,20,25520,6018
20262101,hindsight_index,73,610.5228480360856,20,22951,11214
20262101,hindsight_index,74,324.59504302205784,20,24621,4387
20262101,hindsight_index,75,115.6306874038107,14,31746,908
20262101,hindsight_index,76,328.56310158068004,20,26396,4322
20262101,hindsight_index,77,186.5,19,30092,1787
20262101,hindsight_index,78,67.24215842290755,6,11535,523
20262101,hindsight_index,79,745.8217505056944,20,19033,13275
