seed,case,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,bdp_lambda_last,bdp_lambda_mean,bdp_lambda_max,bdp_updates,bdp_binding_fraction
20262206,bdp_full,1145.0,14.3125,2602.025,1482.9231441048034,481.7685589519651,21224.3375,229186.6375,6895.3125,0.8279929608675487,12.710205288976,44972.0,bdp,481.3701609659577,460.38962304420056,818.6913394124196,859.3249999999999,935.0,308.02139037433153,73.475935828877,80.0,1145.0,306.6431706855966,5.858834951223058,10.874780748677345,0.8474460580189803,997.0,148.0,2797065.9999999953,1099119.0,551624.9999999995,589.973262032085,0.0,0.0,0.0,5140.0,0.0,0.0,0,0.0,0.702545931540948,0.7244284605697348,0.2652458227586716,32.82424832539092,77.0,26.0,0.10027620402953168,47.0,7.174723015134117,31.969640363129137,0.854607962261772,1.0,312.0,0.12360028818082543,0.28739209519699216,1024.0,0.0,5.034884803629304e-09,2.0085777019367852e-08,312.0,0.4967948717948718
20262206,legacy_action,1145.0,14.3125,2602.025,1482.9231441048034,481.7685589519651,21224.3375,229186.6375,6895.3125,0.8279929608675487,12.710205288976,44972.0,bdp,481.3701609659577,460.38962304420056,818.6913394124196,859.3249999999999,935.0,308.02139037433153,73.475935828877,80.0,1145.0,306.6431706855966,5.858834951223058,10.874780748677345,0.8474460580189803,997.0,148.0,2797065.9999999953,1099119.0,551624.9999999995,589.973262032085,0.0,0.0,0.0,5140.0,0.0,0.0,0,0.0,0.702545931540948,0.7244284605697348,0.2652458227586716,32.82424832539092,77.0,26.0,0.10027620402953168,47.0,7.174723015134117,31.969640363129137,0.854607962261772,1.0,312.0,0.12696665698268378,0.29311527614481747,1024.0,0.0,5.034884803629304e-09,2.0085777019367852e-08,312.0,0.4967948717948718
20262207,bdp_full,1164.0,14.55,2886.9625,1452.8453608247423,380.9166666666667,21138.9,218638.275,5542.3375,1.0227967975263754,13.55673297589376,55638.0,bdp,388.01755934355566,375.32256321574977,639.2319116932413,684.0867839950251,1013.8665670494819,284.06104842585677,68.88480424327025,80.0,1164.0,244.7830318782372,5.941537699487341,8.394989319869742,0.8485173170159708,1015.0,149.0,2649592.999999991,958481.0,443387.0000000178,437.3228336055569,0.0,0.0,0.0,3158.0,0.0,0.0,0,0.0,0.48829016997759295,0.5065908682904705,0.48516552984927436,22.62815204565554,74.0,24.0,0.09763552446084274,47.0,6.821361022219928,21.860495411237455,0.7676566344180724,1.0,341.0,0.11260143195789668,0.34916598815470934,1024.0,0.0,3.4607919721475233e-09,1.8249782427352998e-08,341.0,0.3255131964809384
20262207,legacy_action,1164.0,14.55,2886.9625,1452.8453608247423,380.9166666666667,21138.9,218638.275,5542.3375,1.0227967975263754,13.55673297589376,55638.0,bdp,388.01755934355566,375.32256321574977,639.2319116932413,684.0867839950251,1013.8665670494819,284.06104842585677,68.88480424327025,80.0,1164.0,244.7830318782372,5.941537699487341,8.394989319869742,0.8485173170159708,1015.0,149.0,2649592.999999991,958481.0,443387.0000000178,437.3228336055569,0.0,0.0,0.0,3158.0,0.0,0.0,0,0.0,0.48829016997759295,0.5065908682904705,0.48516552984927436,22.62815204565554,74.0,24.0,0.09763552446084274,47.0,6.821361022219928,21.860495411237455,0.7676566344180724,1.0,341.0,0.11128117432790505,0.341791077516973,1024.0,0.0,3.4607919721475233e-09,1.8249782427352998e-08,341.0,0.3255131964809384
20262208,bdp_full,1262.0,15.775,2654.9375,1446.2218700475437,389.70206022187006,22814.15,244717.575,6147.55,0.8024034541552557,13.426108619094569,42945.0,bdp,449.9000549044754,442.3117283436719,771.8284725294155,808.6796522580473,873.0,329.8969072164948,86.73539518900344,80.0,1262.0,263.3740100107673,7.461105443139593,12.544928883649073,0.8154552242518749,1078.0,184.0,3612907.9999999953,1787776.0,491803.9999999822,563.3493699885248,0.0,0.0,0.0,3840.0,0.0,0.0,0,0.0,0.691380372950374,0.7160221118372322,0.28131324089681664,29.109647306156084,79.0,20.0,0.10226636347543973,44.0,10.785698819292303,28.02104439648562,1.0886029096704353,1.0,291.0,0.16978035258494087,0.4489379352889955,1024.0,0.0,6.124355018152455e-09,2.3660012331908704e-08,291.0,0.5807560137457045
20262208,legacy_action,1262.0,15.775,2654.9375,1446.2218700475437,389.70206022187006,22814.15,244717.575,6147.55,0.8024034541552557,13.426108619094569,42945.0,bdp,449.9000549044754,442.3117283436719,771.8284725294155,808.6796522580473,873.0,329.8969072164948,86.73539518900344,80.0,1262.0,263.3740100107673,7.461105443139593,12.544928883649073,0.8154552242518749,1078.0,184.0,3612907.9999999953,1787776.0,491803.9999999822,563.3493699885248,0.0,0.0,0.0,3840.0,0.0,0.0,0,0.0,0.691380372950374,0.7160221118372322,0.28131324089681664,29.109647306156084,79.0,20.0,0.10226636347543973,44.0,10.785698819292303,28.02104439648562,1.0886029096704353,1.0,291.0,0.16956342243400635,0.45647897059097886,1024.0,0.0,6.124355018152455e-09,2.3660012331908704e-08,291.0,0.5807560137457045
20262209,bdp_full,1246.0,15.575,2727.175,1351.19341894061,419.36035313001605,21044.8375,241744.575,6531.5375,0.786770398706265,14.62989937448754,44196.0,bdp,463.7582773564562,445.8975303387999,767.0500000000002,819.3626461472476,987.9939907622736,291.4997486753917,75.6684764269871,80.0,1246.0,293.97275608261225,6.074807504321762,7.914252170209748,0.8616725421863138,1110.0,136.0,2675192.9999999995,991606.0,522523.00000001973,528.8726499205467,0.0,0.0,0.0,4217.0,0.0,0.0,0,0.0,0.6326914456868089,0.6536895403884204,0.3410974320347867,28.618489311943545,77.0,23.0,0.08721168760502755,45.0,7.661190473987585,27.794120385208473,0.8243689267350763,1.0,330.0,0.13144181434516655,0.3014190006069839,1024.0,0.0,5.202341892319259e-09,2.1260083855140286e-08,330.0,0.5515151515151515
20262209,legacy_action,1246.0,15.575,2727.175,1351.19341894061,419.36035313001605,21044.8375,241744.575,6531.5375,0.786770398706265,14.62989937448754,44196.0,bdp,463.7582773564562,445.8975303387999,767.0500000000002,819.3626461472476,987.9939907622736,291.4997486753917,75.6684764269871,80.0,1246.0,293.97275608261225,6.074807504321762,7.914252170209748,0.8616725421863138,1110.0,136.0,2675192.9999999995,991606.0,522523.00000001973,528.8726499205467,0.0,0.0,0.0,4217.0,0.0,0.0,0,0.0,0.6326914456868089,0.6536895403884204,0.3410974320347867,28.618489311943545,77.0,23.0,0.08721168760502755,45.0,7.661190473987585,27.794120385208473,0.8243689267350763,1.0,330.0,0.13173218908239948,0.30337323551066225,1024.0,0.0,5.202341892319259e-09,2.1260083855140286e-08,330.0,0.5515151515151515
20262210,bdp_full,1191.0,14.8875,2880.55,1423.8530646515533,465.75062972292193,21197.6125,232925.075,6933.8625,0.8387614383895462,14.037228881885056,39947.0,bdp,462.78819617472755,382.99528368113636,852.1845470909262,882.05,978.0,294.47852760736197,73.06748466257669,80.0,1191.0,278.0345021702851,5.397972542920132,9.397188492966222,0.8454587274470128,1036.0,155.0,2879723.000000005,1183914.0,554708.9999999761,567.1871165643928,0.0,0.0,0.0,4713.0,0.0,0.0,0,0.0,0.6898729530435689,0.7114117234832347,0.27725322258304413,30.040662141245072,77.0,23.0,0.09337884526773244,47.0,6.573604599813787,29.18720489037291,0.8534572508722182,1.0,326.0,0.12473776712270876,0.3564585349522531,1024.0,0.0,4.2197698389241055e-09,1.630998026800485e-08,326.0,0.44171779141104295
20262210,legacy_action,1191.0,14.8875,2880.55,1423.8530646515533,465.75062972292193,21197.6125,232925.075,6933.8625,0.8387614383895462,14.037228881885056,39947.0,bdp,462.78819617472755,382.99528368113636,852.1845470909262,882.05,978.0,294.47852760736197,73.06748466257669,80.0,1191.0,278.0345021702851,5.397972542920132,9.397188492966222,0.8454587274470128,1036.0,155.0,2879723.000000005,1183914.0,554708.9999999761,567.1871165643928,0.0,0.0,0.0,4713.0,0.0,0.0,0,0.0,0.6898729530435689,0.7114117234832347,0.27725322258304413,30.040662141245072,77.0,23.0,0.09337884526773244,47.0,6.573604599813787,29.18720489037291,0.8534572508722182,1.0,326.0,0.12332975594441127,0.3397084947209805,1024.0,0.0,4.2197698389241055e-09,1.630998026800485e-08,326.0,0.44171779141104295
