policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,factor,value,rep,scenario,seed,runtime_s,total_requests,bdp_lambda_last,bdp_updates,knapsack_calls,mean_knapsack_ms
student_bdp,216.2464059096593,201.9170056042466,401.6271060364344,495.44868694581,699.5046981342377,329.3759150074862,52.58006143218465,167.67919769879245,3.177946444021436,5.540498176112331,0.7427183443216597,356.0,257.0,354052.00000000047,280852.0,94972.00000000166,193.0,280852.0,1.0,255.0,0.0,0.0,0.6358246355828171,0.7048363884498398,0.3156238124642324,8.108175205160274,7.381332705935249,0.7268424992250253,0.8570201560288501,149.0,0.3161943422732683,0.8983925999928033,386.0,decode_batch_sat,16.0,0,decode_batch_sat_16.0_r0,20376720,0.3306280010001501,613.0,0.0,118.0,,
hazard_grade_knapsack,212.83368017146026,200.0,398.3816563908601,504.36450877178567,677.8850217646901,339.88064731127406,54.25698875047162,164.61061147934302,2.6871717621225994,7.110878542042826,0.7452567897230978,364.0,249.0,351281.0000000005,278081.0,94972.00000000093,185.0,278081.0,3.0,254.0,0.0,0.0,0.6427499911615635,0.7159471653789677,0.3104754702754817,8.488367344487227,7.702201599190646,0.7861657452965827,0.8712414825938913,145.0,0.4478965034320873,1.3000868000290207,386.0,decode_batch_sat,16.0,0,decode_batch_sat_16.0_r0,20376720,0.3787880560000758,613.0,,,145.0,0.10428450344173551
thunder,588.153497383875,641.4812688595945,1008.3596599125211,1076.2769497559686,1181.8338480436632,194.95126187271615,34.268776501063385,403.37974802102684,38.5288211626144,119.81263748333954,0.669682001954012,412.0,263.0,467971.9999999997,389144.0,103991.9999999994,199.0,389144.0,0.0,269.0,0.0,0.0,0.8004435772254875,0.8351845975189861,0.6341056929212427,3.975805971698742,3.6290652982297575,0.34674067346898657,0.9689650645894877,285.0,0.45617605964604047,0.8150517998728901,386.0,decode_batch_sat,16.0,1,decode_batch_sat_16.0_r1,20376721,0.5631106980001732,675.0,,,,
student_bdp,268.21002298460724,261.9742474051977,517.0589434708849,561.0431455984732,804.3240259081479,286.4517191810346,50.35284126229124,184.24886994003802,5.843711981906924,27.91184621510851,0.6651543304453229,367.0,308.0,473306.0000000002,394478.0,103991.99999999993,244.0,394478.0,2.0,286.0,0.0,0.0,0.6088197413290415,0.6808905994269299,0.29564060533719433,7.813776790934534,7.001061938054101,0.8127148528804418,0.8126439822488495,175.0,0.33516298285316487,0.870681600008538,386.0,decode_batch_sat,16.0,1,decode_batch_sat_16.0_r1,20376721,0.37686324500009505,675.0,0.0,132.0,,
hazard_grade_knapsack,256.92864805245995,238.24234007768746,504.7624328157924,537.9122629044613,807.4381307899584,285.3469401730976,50.158641827302304,178.4366933116088,4.32234128643329,14.330127688723694,0.5745856212900723,331.0,344.0,580004.0000000015,501176.0,103992.00000000016,280.0,501176.0,1.0,287.0,0.0,0.0,0.5821042593832885,0.6638699789282219,0.2537748280556606,8.16127623719271,7.183426369109083,0.9778498680836353,0.7634523887907128,173.0,0.4131583872854444,1.175235999926372,386.0,decode_batch_sat,16.0,1,decode_batch_sat_16.0_r1,20376721,0.3847503750000669,675.0,,,173.0,0.09040265317418818
thunder,534.5984486489106,529.8546756525245,999.2240795757757,1095.004335924885,1199.4140380985523,192.09379970677708,35.467318747944,412.0206905955524,31.123907568255646,101.98052034645946,0.6827814937194532,433.0,276.0,547749.0000000002,462831.0,104249.99999999997,212.0,462831.0,0.0,130.0,0.0,0.0,0.8144695288973607,0.8523338371592515,0.6245906315535724,4.017998593685935,3.6298560107488282,0.38814258293710935,0.9575110937540435,291.0,0.428965865983509,0.8022144999131342,386.0,decode_batch_sat,16.0,2,decode_batch_sat_16.0_r2,20376722,0.5662969830000293,709.0,,,,
student_bdp,259.1698330411907,244.38264007819114,553.4038447233038,585.3819668104836,672.8958758891963,342.4006718655224,63.219290716837335,198.13375525875767,3.987430834404337,9.60485592668685,0.6007118432875563,375.0,334.0,667490.9999999995,582573.0,104249.99999999991,270.0,582573.0,0.0,139.0,0.0,0.0,0.7263174915653864,0.8290778307968,0.2962387422241197,9.558053116664853,8.38488244978242,1.1731706668824318,0.9504820851602849,139.0,0.3848263884984924,0.8817475001251296,386.0,decode_batch_sat,16.0,2,decode_batch_sat_16.0_r2,20376722,0.34726563699996404,709.0,0.0,126.0,,
hazard_grade_knapsack,252.46283472611685,231.76985813880557,552.1702070053748,575.4235443324462,658.3638908974599,349.95843967980437,64.6147223262972,194.03277426654452,3.1876697709601403,8.953218486683875,0.582971962860231,373.0,336.0,693373.9999999988,608456.0,104249.99999999945,272.0,608456.0,0.0,139.0,0.0,0.0,0.721859345639747,0.83193187241062,0.272898679269979,9.978307310560036,8.699809371641372,1.2784979389186633,0.9495866237138709,139.0,0.4683361079082879,1.1466520999874772,386.0,decode_batch_sat,16.0,2,decode_batch_sat_16.0_r2,20376722,0.349492052999949,709.0,,,139.0,0.09417448201583016
thunder,451.15478138998446,502.39401431131387,737.6686929234156,801.5961844764619,946.0941480974457,243.5275606167995,40.65134540504388,310.83462539019536,30.96889116784372,103.44903279927706,0.714824262226171,393.0,248.0,374806.00000000035,298502.0,89096.99999999943,184.0,298502.0,0.0,141.0,0.0,0.0,0.7459828822576308,0.7790231027409943,0.5940537612497493,3.646268402368376,3.245167657674039,0.4011007446943368,0.9454906281198493,234.0,0.4341710000041072,0.8124208500476016,386.0,decode_batch_sat,32.0,0,decode_batch_sat_32.0_r0,20492720,0.45808860599981926,641.0,,,,
student_bdp,185.86337009365405,180.02720335309766,323.27375237340505,379.2944051343136,559.9575871947657,411.4597342170877,68.68377334196698,129.8168198585317,3.3302193587267244,8.35521621073255,0.6853792286454005,370.0,271.0,405626.9999999991,329323.0,89097.00000000051,207.0,329323.0,1.0,155.0,0.0,0.0,0.6012219190769601,0.6771685569390665,0.30250076888825606,7.478158346831546,6.413069592654987,1.0650887541765588,0.8519381414958039,124.0,0.31114053227141875,0.8999717501069426,386.0,decode_batch_sat,32.0,0,decode_batch_sat_32.0_r0,20492720,0.2736769999999069,641.0,0.0,97.0,,
